,ID,Year_Birth,Age,Age_category,Education,Marital_Status,Income,Income_category,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,TotalMnt,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,TotalAcceptedCmp,campaignAccept,Complain,Response
21,5376,1979,35,4. Adult,2. Graduation,1. Married,2447.0,1. Lower,1,0,2013-01-06,42,1,1,1725,1,1,1,1730,15,0,28,0,1,0,0,0,0,0,0,Not Accept,0,0
22,1993,1949,65,5. Elderly,4. PhD,1. Married,58607.0,3. Upper-Middle,0,1,2012-12-23,63,867,0,86,0,0,19,972,3,2,3,9,8,0,1,0,0,0,1,Accept,0,0
23,4047,1954,60,5. Elderly,4. PhD,1. Married,65324.0,3. Upper-Middle,0,1,2014-01-11,0,384,0,102,21,32,5,544,3,6,2,9,4,0,0,0,0,0,0,Not Accept,0,0
24,1409,1951,63,5. Elderly,2. Graduation,1. Married,40689.0,2. Lower-Middle,0,1,2013-03-18,69,270,3,27,39,6,99,444,7,7,1,5,8,0,0,0,0,0,0,Not Accept,0,0
25,7892,1969,45,4. Adult,2. Graduation,2. Single,18589.0,1. Lower,0,0,2013-01-02,89,6,4,25,15,12,13,75,2,2,1,3,7,0,0,0,0,0,0,Not Accept,0,0
26,2404,1976,38,4. Adult,2. Graduation,1. Married,53359.0,3. Upper-Middle,1,1,2013-05-27,4,173,4,30,3,6,41,257,4,5,1,4,7,0,0,0,0,0,0,Not Accept,0,0
27,5255,1986,28,4. Adult,2. Graduation,2. Single,44421.0,4. Upper,1,0,2013-02-20,19,5,1,3,3,263,362,637,0,27,0,0,1,0,0,0,0,0,0,Not Accept,0,0
28,9422,1989,25,3. Teenage,2. Graduation,1. Married,38360.0,2. Lower-Middle,1,0,2013-05-31,26,36,2,42,20,21,10,131,2,2,1,4,3,0,0,0,0,0,0,Not Accept,0,0
29,1966,1965,49,5. Elderly,4. PhD,1. Married,84618.0,4. Upper,0,0,2013-11-22,96,684,100,801,21,66,0,1672,1,6,9,10,2,0,0,1,0,0,1,Accept,0,0
30,6864,1989,25,3. Teenage,3. Master,3. Divorced,10979.0,1. Lower,0,0,2014-05-22,34,8,4,10,2,2,4,30,2,3,0,3,5,0,0,0,0,0,0,Not Accept,0,0
31,3033,1963,51,5. Elderly,3. Master,1. Married,38620.0,2. Lower-Middle,0,0,2013-05-11,56,112,17,44,34,22,89,318,1,2,5,3,3,0,0,0,0,0,0,Not Accept,0,0
32,5710,1970,44,4. Adult,2. Graduation,1. Married,40548.0,2. Lower-Middle,0,1,2012-10-10,31,110,0,5,2,0,3,120,2,2,1,4,5,0,1,0,0,0,1,Accept,0,0
33,7373,1952,62,5. Elderly,4. PhD,3. Divorced,46610.0,2. Lower-Middle,0,2,2012-10-29,8,96,12,96,33,22,43,302,6,4,1,6,6,0,0,0,0,0,1,Accept,0,1
34,8755,1946,68,6. Old,3. Master,1. Married,68657.0,4. Upper,0,0,2013-02-20,4,482,34,471,119,68,22,1196,1,3,5,9,7,0,0,0,0,0,0,Not Accept,0,0
35,10738,1951,63,5. Elderly,3. Master,2. Single,49389.0,2. Lower-Middle,1,1,2013-08-29,55,40,0,19,2,1,3,65,1,2,0,3,7,0,0,0,0,0,0,Not Accept,0,0
36,4339,1970,44,4. Adult,4. PhD,1. Married,67353.0,3. Upper-Middle,0,1,2013-12-31,37,702,17,151,0,8,35,913,5,5,6,12,2,0,0,0,0,0,0,Not Accept,0,0
37,10755,1976,38,4. Adult,3. Master,1. Married,23718.0,1. Lower,1,0,2013-09-02,76,6,3,14,15,7,36,81,3,3,1,2,7,0,0,0,0,0,0,Not Accept,0,0
38,8595,1973,41,4. Adult,2. Graduation,4. Widow,42429.0,2. Lower-Middle,0,1,2014-02-11,99,55,0,6,2,0,4,67,2,1,1,3,5,0,0,0,0,0,0,Not Accept,0,0
39,2968,1943,71,6. Old,4. PhD,3. Divorced,48948.0,2. Lower-Middle,0,0,2013-02-01,53,437,8,206,160,49,42,902,2,7,10,5,6,1,0,0,0,0,2,Accept,0,1
40,8601,1980,34,4. Adult,2. Graduation,1. Married,80011.0,4. Upper,0,1,2013-04-29,3,421,76,536,82,178,102,1395,2,8,6,5,4,0,0,0,0,0,0,Not Accept,0,0
41,503,1985,29,4. Adult,3. Master,1. Married,20559.0,1. Lower,1,0,2013-03-12,88,13,1,29,3,0,7,53,2,2,0,3,8,0,0,0,0,0,0,Not Accept,0,0
42,8430,1957,57,5. Elderly,2. Graduation,1. Married,21994.0,1. Lower,0,1,2012-12-24,4,9,0,6,3,1,3,22,1,0,0,3,5,0,0,0,0,0,0,Not Accept,0,0
43,7281,1959,55,5. Elderly,4. PhD,2. Single,55257.5,4. Upper,0,0,2013-11-05,80,81,11,50,3,2,39,186,1,1,3,4,2,0,0,0,0,0,0,Not Accept,0,0
44,2139,1975,39,4. Adult,3. Master,1. Married,7500.0,1. Lower,1,0,2013-10-02,19,3,1,10,3,2,12,31,3,2,0,3,5,0,0,0,0,0,0,Not Accept,0,0
45,1371,1976,38,4. Adult,2. Graduation,2. Single,79941.0,4. Upper,0,0,2014-06-28,72,123,164,266,227,30,174,984,1,2,4,9,1,0,0,0,0,0,0,Not Accept,0,0
46,9909,1996,18,3. Teenage,3. Master,1. Married,7500.0,1. Lower,0,0,2012-11-09,24,3,18,14,15,22,50,122,3,3,1,3,9,0,0,0,0,0,1,Accept,0,1
47,7286,1968,46,5. Elderly,2. Graduation,1. Married,41728.0,2. Lower-Middle,1,0,2013-05-24,92,13,6,15,3,5,13,55,1,2,0,2,10,0,0,0,0,0,0,Not Accept,0,0
48,7244,1951,63,5. Elderly,2. Graduation,2. Single,57811.0,4. Upper,2,1,2014-01-01,96,48,5,48,6,10,7,124,3,2,1,4,6,0,0,0,0,0,0,Not Accept,0,0
49,6566,1954,60,5. Elderly,4. PhD,1. Married,72550.0,4. Upper,1,1,2012-11-08,39,826,50,317,50,38,38,1319,9,5,2,12,8,0,0,0,0,0,0,Not Accept,0,0
50,8614,1957,57,5. Elderly,2. Graduation,4. Widow,65486.0,3. Upper-Middle,0,1,2014-05-12,29,245,19,125,37,67,14,507,1,4,2,10,2,0,0,0,0,0,0,Not Accept,0,0
51,4114,1964,50,5. Elderly,3. Master,1. Married,79143.0,4. Upper,0,0,2012-08-11,2,650,37,780,27,167,32,1693,1,6,9,13,3,0,0,0,0,0,0,Not Accept,0,0
52,1331,1977,37,4. Adult,2. Graduation,2. Single,35790.0,2. Lower-Middle,1,0,2013-01-02,54,12,6,20,30,1,3,72,2,2,0,3,7,0,0,0,0,0,0,Not Accept,0,0
53,2225,1977,37,4. Adult,2. Graduation,3. Divorced,82582.0,4. Upper,0,0,2014-06-07,54,510,120,550,156,40,241,1617,1,4,9,7,1,1,0,0,1,0,3,Accept,0,1
54,9381,1978,36,4. Adult,2. Graduation,1. Married,66373.0,3. Upper-Middle,1,1,2013-06-12,57,328,9,124,12,24,109,606,7,4,2,10,3,0,0,0,0,0,0,Not Accept,0,0
55,6260,1955,59,5. Elderly,3. Master,1. Married,82384.0,4. Upper,0,0,2012-11-19,55,984,51,432,180,120,190,1957,1,3,10,13,1,0,0,1,0,0,2,Accept,0,1
56,10383,1966,48,5. Elderly,2. Graduation,3. Divorced,70287.0,4. Upper,0,0,2013-04-02,30,295,35,482,121,120,40,1093,1,5,5,10,3,0,0,0,0,0,1,Accept,0,1
57,7437,1988,26,4. Adult,2. Graduation,2. Single,27938.0,1. Lower,1,0,2014-04-28,31,13,0,8,2,1,5,29,1,1,0,4,3,0,0,0,0,0,0,Not Accept,0,0
58,8557,1982,32,4. Adult,2. Graduation,2. Single,44421.0,4. Upper,1,0,2013-06-17,57,11,3,22,2,2,6,46,2,2,0,3,6,0,0,0,0,0,0,Not Accept,0,0
59,8375,1968,46,5. Elderly,4. PhD,1. Married,55954.0,3. Upper-Middle,0,1,2014-03-03,63,447,0,28,0,0,43,518,3,8,2,6,7,0,0,0,0,0,0,Not Accept,0,0
60,6853,1982,32,4. Adult,3. Master,2. Single,75777.0,4. Upper,0,0,2013-07-04,12,712,26,538,69,13,80,1438,1,3,6,11,1,0,1,1,0,0,3,Accept,0,1
61,3076,1975,39,4. Adult,2. Graduation,1. Married,66653.0,3. Upper-Middle,1,1,2012-09-07,18,452,18,102,16,18,6,612,4,4,2,12,3,0,0,0,0,0,0,Not Accept,0,0
62,1012,1952,62,5. Elderly,2. Graduation,2. Single,61823.0,3. Upper-Middle,0,1,2013-02-18,26,523,7,134,37,14,169,884,4,8,2,10,7,0,0,0,0,0,0,Not Accept,0,0
63,6518,1951,63,5. Elderly,4. PhD,4. Widow,67680.0,3. Upper-Middle,0,1,2013-06-11,8,546,0,48,0,6,6,606,1,7,3,8,5,0,0,0,0,0,0,Not Accept,0,0
64,4137,1948,66,6. Old,2. Graduation,1. Married,70666.0,4. Upper,0,0,2013-12-06,29,398,40,367,119,122,30,1076,1,7,4,4,4,0,0,0,0,0,0,Not Accept,0,0
65,8082,1971,43,4. Adult,2. Graduation,1. Married,25721.0,1. Lower,1,0,2013-05-21,75,1,3,6,3,6,15,34,1,1,1,2,7,0,0,0,0,0,1,Accept,0,1
66,1386,1967,47,5. Elderly,2. Graduation,1. Married,32474.0,1. Lower,1,1,2014-05-11,0,10,0,1,0,0,0,11,1,1,0,2,7,0,0,0,0,0,0,Not Accept,0,0
67,9369,1979,35,4. Adult,3. Master,2. Single,88194.0,4. Upper,0,1,2014-03-19,19,688,14,309,201,24,38,1274,1,11,10,10,5,1,0,0,1,0,3,Accept,0,1
68,4477,1958,56,5. Elderly,2. Graduation,1. Married,69096.0,4. Upper,0,1,2013-09-27,4,247,49,159,7,82,109,653,1,5,2,10,4,0,0,0,0,0,0,Not Accept,0,0
69,1357,1970,44,4. Adult,2. Graduation,1. Married,74854.0,4. Upper,1,2,2013-04-08,90,856,59,487,58,29,73,1562,7,2,5,5,5,0,0,0,0,0,0,Not Accept,0,0
70,1402,1954,60,5. Elderly,3. Master,1. Married,66991.0,3. Upper-Middle,0,0,2012-09-11,1,496,36,460,189,60,12,1253,3,4,8,6,3,0,0,0,0,0,0,Not Accept,0,0
71,10629,1973,41,4. Adult,3. Master,1. Married,36425.5,4. Upper,1,0,2012-09-14,25,25,3,43,17,4,17,109,3,3,0,3,8,0,0,0,0,0,0,Not Accept,0,0
72,6312,1959,55,5. Elderly,2. Graduation,1. Married,65031.0,3. Upper-Middle,0,1,2013-03-17,29,258,107,291,84,37,86,863,4,10,3,13,7,0,0,0,0,0,0,Not Accept,0,0
73,8132,1975,39,4. Adult,4. PhD,1. Married,60631.0,3. Upper-Middle,1,1,2013-04-05,88,565,6,65,0,6,19,661,5,9,2,8,7,0,1,0,0,0,1,Accept,0,0
74,1050,1952,62,5. Elderly,2. Graduation,1. Married,28332.0,1. Lower,0,0,2014-04-30,58,14,10,13,4,15,9,65,1,2,1,4,2,0,0,0,0,0,0,Not Accept,0,0
75,5846,1977,37,4. Adult,2. Graduation,3. Divorced,40246.0,2. Lower-Middle,1,0,2012-12-19,68,2,1,6,2,1,1,13,1,1,0,2,6,0,0,0,0,0,0,Not Accept,0,0
76,1859,1972,42,4. Adult,3. Master,1. Married,75251.0,4. Upper,0,0,2012-08-27,34,721,111,925,97,18,18,1890,1,7,6,5,5,0,0,0,0,0,1,Accept,0,1
77,7503,1976,38,4. Adult,2. Graduation,2. Single,75825.0,4. Upper,0,0,2012-10-12,40,1032,105,779,137,105,51,2209,0,5,8,9,4,1,0,0,0,0,2,Accept,0,1
78,10401,1976,38,4. Adult,3. Master,1. Married,26326.0,1. Lower,0,0,2013-09-04,12,1,0,5,0,3,9,18,1,0,0,3,3,0,0,0,0,0,0,Not Accept,1,0
79,1618,1965,49,5. Elderly,2. Graduation,1. Married,56046.0,3. Upper-Middle,0,0,2013-01-02,9,577,0,64,0,0,51,692,2,10,1,8,8,1,0,0,0,0,2,Accept,0,1
80,3332,1985,29,4. Adult,2. Graduation,2. Single,29760.0,1. Lower,1,0,2012-08-29,87,64,4,68,7,5,17,165,4,3,1,4,8,0,0,0,0,0,0,Not Accept,0,0
81,2261,1969,45,4. Adult,2. Graduation,1. Married,26304.0,1. Lower,1,0,2013-06-23,5,4,1,5,2,0,4,16,1,1,0,2,7,0,0,0,0,0,0,Not Accept,0,0
82,5346,1973,41,4. Adult,3. Master,1. Married,23559.0,1. Lower,1,0,2013-07-03,87,25,5,19,7,0,23,79,3,3,0,3,7,0,0,0,0,0,0,Not Accept,0,0
83,4119,1963,51,5. Elderly,3. Master,1. Married,38620.0,2. Lower-Middle,0,0,2013-05-11,56,112,17,44,34,22,89,318,1,2,5,3,3,0,0,0,0,0,0,Not Accept,0,0
84,535,1987,27,4. Adult,2. Graduation,3. Divorced,81361.0,4. Upper,0,0,2014-02-25,18,163,23,424,27,65,76,778,1,3,10,13,1,0,0,0,0,0,0,Not Accept,0,0
85,5268,1960,54,5. Elderly,2. Graduation,1. Married,29440.0,1. Lower,1,1,2013-08-11,95,17,8,14,10,4,3,56,2,1,0,4,7,0,0,0,0,0,0,Not Accept,0,0
86,273,1970,44,4. Adult,3. Master,1. Married,36138.0,2. Lower-Middle,1,1,2013-07-16,48,130,0,16,0,0,5,151,5,3,1,4,7,0,1,0,0,0,1,Accept,0,0
87,4452,1957,57,5. Elderly,2. Graduation,2. Single,50388.0,2. Lower-Middle,0,1,2014-05-28,3,292,6,37,0,3,34,372,4,6,1,6,7,0,1,0,1,0,3,Accept,0,1
88,8504,1973,41,4. Adult,2. Graduation,1. Married,79593.0,4. Upper,0,0,2014-05-12,70,350,60,568,110,133,145,1366,1,5,6,7,2,0,0,1,0,0,1,Accept,0,0
89,771,1967,47,5. Elderly,2. Graduation,1. Married,54178.0,3. Upper-Middle,0,1,2014-01-21,79,135,9,39,4,0,7,194,1,2,2,5,2,0,0,0,0,0,0,Not Accept,0,0
90,8996,1957,57,5. Elderly,4. PhD,1. Married,55257.5,4. Upper,2,1,2012-11-19,4,230,42,192,49,37,53,603,12,7,2,8,9,0,0,0,0,0,0,Not Accept,0,0
91,9235,1957,57,5. Elderly,2. Graduation,2. Single,57811.0,4. Upper,1,1,2014-05-27,45,7,0,8,2,0,1,18,1,1,0,2,7,0,0,0,0,0,0,Not Accept,0,0
92,5798,1973,41,4. Adult,3. Master,1. Married,44239.0,4. Upper,0,0,2013-11-23,87,445,37,359,98,28,18,985,1,2,4,8,1,0,0,0,0,0,0,Not Accept,0,0
93,11178,1972,42,4. Adult,3. Master,2. Single,42394.0,2. Lower-Middle,1,0,2014-03-23,69,15,2,10,0,1,4,32,1,1,0,3,7,0,0,0,0,0,0,Not Accept,0,0
94,2230,1970,44,4. Adult,4. PhD,1. Married,23626.0,1. Lower,1,0,2014-05-24,84,27,2,14,0,0,0,43,3,3,1,3,5,0,0,0,0,0,0,Not Accept,0,0
95,7516,1983,31,4. Adult,2. Graduation,1. Married,30096.0,1. Lower,1,0,2014-05-22,30,5,3,11,12,5,9,45,1,2,0,3,6,0,0,0,0,0,0,Not Accept,0,0
96,7247,1960,54,5. Elderly,2. Graduation,4. Widow,47916.0,2. Lower-Middle,0,1,2012-11-22,72,505,0,26,0,0,75,606,5,7,4,6,6,0,1,0,0,0,1,Accept,0,0
97,11100,1972,42,4. Adult,2. Graduation,3. Divorced,51813.0,3. Upper-Middle,1,1,2013-04-11,37,51,2,7,0,1,2,63,2,2,0,3,7,0,0,0,0,0,0,Not Accept,0,0
98,4646,1951,63,5. Elderly,3. Master,1. Married,78497.0,4. Upper,0,0,2013-12-01,44,207,26,447,75,0,223,978,1,5,7,12,2,0,0,0,1,0,1,Accept,0,0
99,3037,1983,31,4. Adult,4. PhD,1. Married,50150.0,2. Lower-Middle,0,0,2013-06-20,32,135,46,92,65,61,11,410,2,5,2,7,5,0,0,0,0,0,0,Not Accept,0,0
100,1473,1960,54,5. Elderly,3. Master,2. Single,47823.0,2. Lower-Middle,0,1,2013-07-23,0,53,1,5,2,1,10,72,2,2,0,3,8,0,0,0,0,0,0,Not Accept,0,0
101,1016,1959,55,5. Elderly,4. PhD,2. Single,34554.0,1. Lower,0,1,2014-03-30,43,41,1,6,2,0,5,55,2,2,0,3,6,0,0,0,0,0,0,Not Accept,0,0
102,4518,1979,35,4. Adult,2. Graduation,1. Married,85693.0,4. Upper,0,1,2013-04-20,59,386,172,183,185,132,111,1169,2,9,5,11,5,0,0,0,0,0,0,Not Accept,0,0
103,9370,1945,69,6. Old,4. PhD,1. Married,65846.0,3. Upper-Middle,0,0,2013-05-17,68,562,81,276,80,40,81,1120,1,6,3,6,4,0,0,0,0,0,0,Not Accept,0,0
104,8908,1959,55,5. Elderly,2. Graduation,1. Married,87195.0,4. Upper,0,0,2014-05-08,35,217,76,690,50,26,38,1097,1,3,11,5,1,0,0,0,0,0,1,Accept,0,1
105,8373,1979,35,4. Adult,1. Basic,1. Married,24594.0,1. Lower,1,0,2013-12-10,94,1,3,6,10,0,9,29,1,1,0,3,5,0,0,0,0,0,0,Not Accept,0,0
106,7533,1964,50,5. Elderly,2. Graduation,1. Married,49096.0,2. Lower-Middle,1,1,2013-09-24,15,144,1,32,2,1,7,187,4,4,1,4,7,0,0,0,0,0,0,Not Accept,0,0
107,2683,1969,45,4. Adult,2. Graduation,1. Married,52413.0,3. Upper-Middle,0,2,2013-02-02,56,295,106,271,75,98,65,910,4,6,4,12,6,0,0,0,0,0,0,Not Accept,0,0
108,3629,1978,36,4. Adult,2. Graduation,2. Single,38557.0,2. Lower-Middle,1,0,2012-12-19,17,76,3,31,4,4,27,145,2,3,1,3,7,0,0,0,0,0,0,Not Accept,0,0
109,10991,1960,54,5. Elderly,3. Master,1. Married,89058.0,4. Upper,0,0,2012-12-07,18,454,194,106,31,22,43,850,1,5,4,4,2,0,0,0,0,0,0,Not Accept,0,0
110,5077,1979,35,4. Adult,2. Graduation,1. Married,77298.0,4. Upper,0,1,2013-11-02,46,425,115,292,23,35,79,969,1,6,6,11,3,0,0,0,0,0,0,Not Accept,0,0
111,7431,1991,23,3. Teenage,4. PhD,2. Single,68126.0,3. Upper-Middle,0,0,2012-11-10,40,1332,17,311,23,51,86,1820,1,7,4,5,9,0,1,0,0,0,2,Accept,0,1
112,3267,1963,51,5. Elderly,3. Master,1. Married,57288.0,3. Upper-Middle,0,1,2014-06-25,27,527,0,21,0,0,60,608,3,8,1,8,6,0,1,0,0,0,1,Accept,0,0
113,999,1991,23,3. Teenage,2. Graduation,2. Single,86037.0,4. Upper,0,0,2013-01-02,95,490,44,125,29,20,22,730,1,6,7,11,3,0,1,1,0,0,3,Accept,0,1
114,9215,1980,34,4. Adult,4. PhD,1. Married,43974.0,2. Lower-Middle,1,0,2012-12-12,19,378,0,101,0,0,72,551,5,6,4,6,7,0,0,0,0,0,0,Not Accept,0,0
115,2286,1962,52,5. Elderly,2. Graduation,2. Single,50785.0,2. Lower-Middle,1,1,2013-09-10,27,64,1,21,0,1,27,114,2,2,1,3,6,0,0,0,0,0,0,Not Accept,0,0
116,1592,1970,44,4. Adult,2. Graduation,1. Married,90765.0,4. Upper,0,0,2014-01-24,25,547,99,812,151,82,33,1724,0,4,6,5,1,0,0,1,1,0,2,Accept,0,0
117,367,1978,36,4. Adult,3. Master,1. Married,36550.0,2. Lower-Middle,1,0,2013-02-19,74,47,90,94,123,103,120,577,5,9,1,5,9,0,0,0,0,0,0,Not Accept,0,0
118,5234,1967,47,5. Elderly,3. Master,1. Married,30753.0,1. Lower,1,1,2013-07-11,85,12,5,25,0,9,30,81,2,1,1,3,5,0,0,0,0,0,0,Not Accept,0,0
119,9862,1969,45,4. Adult,2. Graduation,1. Married,21918.0,1. Lower,1,0,2013-11-14,37,1,6,7,11,5,3,33,2,2,0,3,6,0,0,0,0,0,0,Not Accept,0,0
120,9805,1953,61,5. Elderly,3. Master,1. Married,56129.0,3. Upper-Middle,0,1,2013-06-20,65,320,48,133,39,72,48,660,4,6,2,10,4,0,0,0,0,0,0,Not Accept,0,0
121,6205,1967,47,5. Elderly,3. Master,2. Single,32557.0,1. Lower,1,0,2014-02-24,13,34,3,29,0,4,10,80,3,2,1,3,5,0,0,0,0,0,1,Accept,0,1
122,8442,1985,29,4. Adult,3. Master,1. Married,19510.0,1. Lower,2,0,2013-09-04,63,9,0,7,3,4,7,30,2,1,0,3,7,0,0,0,0,0,0,Not Accept,0,0
123,7386,1976,38,4. Adult,2. Graduation,3. Divorced,30992.0,1. Lower,1,0,2013-04-22,83,17,0,14,7,3,2,43,1,1,0,3,7,0,0,0,0,0,0,Not Accept,0,0
124,7215,1983,31,4. Adult,2. Graduation,2. Single,101970.0,4. Upper,0,0,2013-03-12,69,722,27,102,44,72,168,1135,0,6,8,13,2,0,1,1,1,0,4,Accept,0,1
125,1491,1965,49,5. Elderly,3. Master,1. Married,71488.0,4. Upper,0,0,2013-02-18,87,162,33,124,40,28,172,559,2,3,4,7,1,0,0,0,0,0,0,Not Accept,0,0
126,11071,1984,30,4. Adult,2. Graduation,2. Single,79607.0,4. Upper,0,0,2013-04-21,37,450,133,951,173,0,216,1923,1,3,6,6,1,0,0,0,0,0,1,Accept,0,1
127,3381,1953,61,5. Elderly,3. Master,1. Married,54348.0,3. Upper-Middle,1,1,2014-06-08,51,70,0,16,0,0,4,90,2,2,0,4,6,0,0,0,0,0,0,Not Accept,0,0
128,8268,1961,53,5. Elderly,4. PhD,1. Married,55257.5,4. Upper,0,1,2013-07-11,23,352,0,27,10,0,15,404,3,6,1,7,6,0,0,0,0,0,0,Not Accept,0,0
129,11051,1956,58,5. Elderly,4. PhD,1. Married,77376.0,4. Upper,1,1,2014-05-10,72,492,19,110,16,12,12,661,4,6,3,10,4,0,0,0,0,0,0,Not Accept,0,0
130,8026,1952,62,5. Elderly,2. Graduation,1. Married,62998.0,3. Upper-Middle,0,1,2013-09-30,10,120,58,73,65,89,58,463,5,5,4,5,5,0,0,0,0,0,0,Not Accept,0,0
131,433,1958,56,5. Elderly,3. Master,2. Single,61331.0,3. Upper-Middle,1,1,2013-03-10,42,534,5,47,0,5,41,632,5,11,1,6,8,0,0,0,0,0,0,Not Accept,0,0
132,9597,1969,45,4. Adult,2. Graduation,1. Married,73448.0,4. Upper,0,0,2014-02-10,10,236,106,189,23,41,130,725,1,7,2,9,4,0,0,0,0,0,0,Not Accept,0,0
133,1295,1963,51,5. Elderly,2. Graduation,1. Married,57811.0,4. Upper,0,1,2013-08-11,96,231,65,196,38,71,124,725,1,6,5,7,4,0,0,0,0,0,0,Not Accept,0,0
134,5290,1964,50,5. Elderly,4. PhD,1. Married,41551.0,2. Lower-Middle,1,1,2013-08-14,51,220,0,33,3,0,23,279,5,5,1,5,8,0,0,0,0,0,0,Not Accept,0,0
135,1685,1967,47,5. Elderly,4. PhD,1. Married,62981.0,3. Upper-Middle,0,0,2013-03-17,21,796,14,590,38,44,0,1482,1,4,5,13,3,0,1,0,0,0,1,Accept,0,0
